saving to ./results/resnet_cifar100_binary_lr_0.0001
creating model resnet_binary
created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
number of parameters: 4367100
Files already downloaded and verified
Files already downloaded and verified
training regime: {0: {'optimizer': 'Adam', 'lr': 0.0001}}
/content/BinaryNet.pytorch/models/resnet_binary.py:148: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  x = self.logsoftmax(x)
TRAINING - Epoch: [0][0/196]	Time 4.014 (4.014)	Data 0.638 (0.638)	Loss 5.1435 (5.1435)	Prec@1 1.562 (1.562)	Prec@5 5.078 (5.078)
TRAINING - Epoch: [0][10/196]	Time 0.467 (0.765)	Data 0.000 (0.058)	Loss 5.0368 (5.0320)	Prec@1 1.562 (1.740)	Prec@5 6.250 (6.214)
TRAINING - Epoch: [0][20/196]	Time 0.469 (0.624)	Data 0.000 (0.031)	Loss 4.7355 (4.9395)	Prec@1 1.172 (1.730)	Prec@5 9.766 (7.292)
TRAINING - Epoch: [0][30/196]	Time 0.470 (0.574)	Data 0.000 (0.021)	Loss 4.7061 (4.8655)	Prec@1 0.391 (1.651)	Prec@5 7.031 (7.724)
TRAINING - Epoch: [0][40/196]	Time 0.469 (0.549)	Data 0.000 (0.016)	Loss 4.6209 (4.8159)	Prec@1 2.734 (1.658)	Prec@5 9.375 (8.127)
TRAINING - Epoch: [0][50/196]	Time 0.473 (0.533)	Data 0.000 (0.013)	Loss 4.5614 (4.7703)	Prec@1 1.562 (1.792)	Prec@5 12.891 (8.785)
TRAINING - Epoch: [0][60/196]	Time 0.471 (0.523)	Data 0.000 (0.011)	Loss 4.5395 (4.7274)	Prec@1 2.734 (1.883)	Prec@5 11.719 (9.253)
TRAINING - Epoch: [0][70/196]	Time 0.475 (0.516)	Data 0.000 (0.009)	Loss 4.4627 (4.6973)	Prec@1 3.906 (2.080)	Prec@5 14.453 (9.920)
TRAINING - Epoch: [0][80/196]	Time 0.471 (0.511)	Data 0.000 (0.008)	Loss 4.4638 (4.6696)	Prec@1 2.344 (2.127)	Prec@5 13.672 (10.320)
TRAINING - Epoch: [0][90/196]	Time 0.475 (0.507)	Data 0.000 (0.007)	Loss 4.3971 (4.6447)	Prec@1 4.297 (2.241)	Prec@5 16.797 (10.783)
TRAINING - Epoch: [0][100/196]	Time 0.472 (0.503)	Data 0.000 (0.006)	Loss 4.4351 (4.6252)	Prec@1 1.953 (2.386)	Prec@5 12.500 (11.177)
TRAINING - Epoch: [0][110/196]	Time 0.474 (0.501)	Data 0.000 (0.006)	Loss 4.3993 (4.6040)	Prec@1 3.125 (2.527)	Prec@5 16.016 (11.684)
TRAINING - Epoch: [0][120/196]	Time 0.478 (0.498)	Data 0.000 (0.005)	Loss 4.4054 (4.5841)	Prec@1 3.516 (2.692)	Prec@5 13.672 (12.122)
TRAINING - Epoch: [0][130/196]	Time 0.477 (0.497)	Data 0.000 (0.005)	Loss 4.3278 (4.5684)	Prec@1 5.078 (2.785)	Prec@5 17.969 (12.464)
TRAINING - Epoch: [0][140/196]	Time 0.473 (0.495)	Data 0.000 (0.005)	Loss 4.3963 (4.5512)	Prec@1 5.078 (2.928)	Prec@5 17.188 (12.830)
TRAINING - Epoch: [0][150/196]	Time 0.476 (0.494)	Data 0.000 (0.004)	Loss 4.3511 (4.5345)	Prec@1 4.297 (3.107)	Prec@5 19.141 (13.294)
TRAINING - Epoch: [0][160/196]	Time 0.474 (0.493)	Data 0.000 (0.004)	Loss 4.2414 (4.5199)	Prec@1 7.031 (3.271)	Prec@5 19.531 (13.686)
TRAINING - Epoch: [0][170/196]	Time 0.474 (0.492)	Data 0.000 (0.004)	Loss 4.2555 (4.5053)	Prec@1 5.859 (3.385)	Prec@5 21.094 (14.056)
TRAINING - Epoch: [0][180/196]	Time 0.475 (0.491)	Data 0.000 (0.004)	Loss 4.3291 (4.4955)	Prec@1 5.469 (3.438)	Prec@5 19.922 (14.224)
TRAINING - Epoch: [0][190/196]	Time 0.476 (0.490)	Data 0.000 (0.004)	Loss 4.2824 (4.4833)	Prec@1 7.812 (3.565)	Prec@5 19.141 (14.592)
./main_binary.py:246: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  input_var = Variable(inputs.type(args.type), volatile=not training)
EVALUATING - Epoch: [0][0/40]	Time 0.950 (0.950)	Data 0.755 (0.755)	Loss 4.1853 (4.1853)	Prec@1 5.469 (5.469)	Prec@5 25.391 (25.391)
EVALUATING - Epoch: [0][10/40]	Time 0.158 (0.247)	Data 0.000 (0.071)	Loss 4.3533 (4.2440)	Prec@1 4.297 (5.646)	Prec@5 18.359 (21.129)
EVALUATING - Epoch: [0][20/40]	Time 0.160 (0.205)	Data 0.000 (0.037)	Loss 4.1782 (4.2557)	Prec@1 7.031 (5.711)	Prec@5 24.219 (20.666)
EVALUATING - Epoch: [0][30/40]	Time 0.158 (0.190)	Data 0.000 (0.025)	Loss 4.3658 (4.2604)	Prec@1 3.125 (5.721)	Prec@5 16.016 (20.829)

 Epoch: 1	Training Loss 4.4791 	Training Prec@1 3.596 	Training Prec@5 14.728 	Validation Loss 4.2533 	Validation Prec@1 5.850 	Validation Prec@5 21.100 

/content/BinaryNet.pytorch/models/resnet_binary.py:148: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  x = self.logsoftmax(x)
TRAINING - Epoch: [1][0/196]	Time 1.077 (1.077)	Data 0.677 (0.677)	Loss 4.3360 (4.3360)	Prec@1 3.906 (3.906)	Prec@5 20.312 (20.312)
